"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","При вводе двух разных адресов отображается блок выбора маршрута","","2026-07-28","skipped","2026-07-28","","","",""
"","162","Кнопка Отмена закрывает окно заказа","tests","2026-07-28","passed","2026-07-28","TestTaxiOrderFlow","test_taxi_order","",""
"","1081","При вводе двуз разных адресов на карте отображаются две точки маршрута","tests","2026-07-28","passed","2026-07-28","TestRouteDrawing","test_route_drawing","",""
"","412","При вводе двух разных адресов отображается блок выбора маршрута","tests","2026-07-28","passed","2026-07-28","TestRouteBlock","test_route_block","",""
"","77","Форма заказа содержит все 6 тарифов, один из них активный","tests","2026-07-28","passed","2026-07-28","TestTaxiOrder","test_taxi_order","",""
"","38874","После окончания таймера отображается окно совершённого заказа по ТЗ","tests","2026-07-28","passed","2026-07-28","TestTaxiOrderFlow","test_taxi_order","",""
"","418","Описание тарифа 'Глянцевый' соответствует ТЗ","tests","2026-07-28","passed","2026-07-28","TestTaxiOrder","test_taxi_order","",""
"","396","Описание тарифа 'Сонный' соответствует ТЗ","tests","2026-07-28","passed","2026-07-28","TestTaxiOrder","test_taxi_order","",""
"","199","Переключение Оптимальный/Быстрый меняет таб и пересчитывает время и стоимость","tests","2026-07-28","passed","2026-07-28","TestTaxiPreparation","test_taxi_preparation","",""
"","390","Описание тарифа 'Отпускной' соответствует ТЗ","tests","2026-07-28","passed","2026-07-28","TestTaxiOrder","test_taxi_order","",""
"","35305","В деталях заказа отображается стоимость поездки","tests","2026-07-28","passed","2026-07-28","TestTaxiOrderFlow","test_taxi_order","",""
"","126","При выборе 'Свой' становятся активны все типы передвижения","tests","2026-07-28","passed","2026-07-28","TestTaxiPreparation","test_taxi_preparation","",""
"","338","При вводе одинакового адреса отображается блок 'Авто Бесплатно В пути 0 мин.'","tests","2026-07-28","passed","2026-07-28","TestRouteBlock","test_route_block","",""
"","355","Описание тарифа 'Рабочий' соответствует ТЗ","tests","2026-07-28","passed","2026-07-28","TestTaxiOrder","test_taxi_order","",""
"","80","При выборе 'Быстрый' активна кнопка 'Вызвать такси'","tests","2026-07-28","passed","2026-07-28","TestTaxiPreparation","test_taxi_preparation","",""
"","171","После заказа отображается окно ожидания машины со всеми элементами по ТЗ","tests","2026-07-28","passed","2026-07-28","TestTaxiOrderFlow","test_taxi_order","",""
"","558","Под тарифами отображаются поля Телефон, Способ оплаты, Комментарий","tests","2026-07-28","passed","2026-07-28","TestTaxiOrder","test_taxi_order","",""
"","161","При выборе 'Свой' и типа 'Драйв' активна кнопка 'Забронировать'","tests","2026-07-28","passed","2026-07-28","TestTaxiPreparation","test_taxi_preparation","",""
"","412","Описание тарифа 'Утешительный' соответствует ТЗ","tests","2026-07-28","passed","2026-07-28","TestTaxiOrder","test_taxi_order","",""
"","407","Описание тарифа 'Разговорчивый' соответствует ТЗ","tests","2026-07-28","passed","2026-07-28","TestTaxiOrder","test_taxi_order","",""
"","1389","При вводе двух разных адресов на карте отображаются две точки маршрута","tests","2026-07-28","passed","2026-07-28","TestRouteDrawing","test_route_drawing","",""
